Column A,Column B
"Shernan","Apekz"
"Aelekz","J-Blaque"
"Range","Chaliz"
"Mackata","Jecoy"
"Martin","Chris Ace"
"Marshall Bonifacio","Jamal"
"Loonie","Tipsy D"
"Smugglaz","Rapido"
"Target","Thike"
"Jonas","Romano"
"J-Skeelz","Juan Lazy"
"LilJohn","EJ Power"
"J-King","Fangs"
"Mhot","Onaks"
"Stiff","Dave Ill"
"Loonie","G-Clown"
"BLKD","Zero Hour"
"Sak Maestro","Kregga"
"Nikki","Silent Effect"
"Rudic","Maxford"
"Cool Kidd","Tatz Maven"
"Fukuda","Dosage"
"Onlison","Hizuka"
"Cedie","Sixth Threat"
"Zaito","Sinio"
"Tipsy D","J-King"
"Mocks Wun","Kamandag"
"Rapido","Asser"
"Akt","Romano"
"LilJohn","Lanzeta"
"Righteous1","Kjap"
"Invictus","Poison13"
"Dhuski","Hazky"
"M Zhayt","Plazma"
"Sayadd","Pistolero"
"Lanzeta","Mhot"
"Thike","Harlem"
"Batang Rebelde","Kris Delano"
"Damsa","Jonas"
"Nerdskillz","Prince Rhyme"
"Lhipkram","El Quiel"
"Poison13","Towpher"
"Loonie","Badang"
"Asser","Aklas"
"Tweng","Shernan"
"Ice Bergg","Nikki"
"Range","Makii"
"Fangs","Onlison"
"Aelekz","Mackata"
"LilJohn","Zeus"
"Smugglaz","M Zhayt"
"Frooz","G-Clown"
"Batang Rebelde","Icaruz"
"Left Eye Blind","Damsa"
"Hazky","Onaks"
"Mhot","Wise Wunn"
"Mikidee","Dilim"
"Castyboy","Emar Industriya"
"Tikboy","Towpher"
"Sanctuz","J2DP"
"Tipsy D","Flict-G"
"Rapido","LilJohn"
"Rapido","Romano"
"Pistolero","J-King"
"Plazma","Kjap"
"Akt","Righteous1"
"EJ Power","Jonas"
"Invictus","CripLi"
"EJ Power","El Quiel"
"Hazky","Blackfaith"
"Lhipkram","Doc Pau"
"Jonas","Onaks"
"Sibil","Mhot"
"Prince Rhyme","Jigsaw"
"Poison13","Crazy3ck"
"Loonie","Shehyee"
"Abra","Aklas"
"Frooz","Asser"
"Elbiz","Badang"
"Apekz","Righteous1"
"Andy G","Pistolero"
"M Zhayt","Goriong Talas"
"Plazma","Harlem"
"Thike","Dhictah"
"Damsa","G-Clown"
"Batas","Romano"
"BLKD","Tipsy D"
"Smugglaz","Apoc"
"Zaito","Shernan"
"Rapido","Sayadd"
"Kregga","Cerberus"
"Kial","Tweng"
"J-King","Aelekz"
"Range","Lanzeta"
"Maxford","Kregga"
"Badang","G-Spot"
"Rapido","Silent Effect"
"Pistolero","Nikki"
"Hizuka","Dave Ill"
"Dopee","Onlison"
"Cool Kidd","Stiff"
"Snob","Fukuda"
"Tatz Maven","Dosage"
"Tipsy D","Sayadd"
"Badang","Romano"
"Thike","Akt"
"LilJohn","Mocks Wun"
"Prosecutor Billy","J-King"
"Cerberus","Lanzeta"
"Twister","El Quiel"
"Rich Flo","EJ Power"
"Dhuski","Sur Henyo"
"Kjap","Invictus"
"Poison13","Rentao"
"Batas","Shernan"
"Dello","Romano"
"Abra","Pricetagg"
"Sinio","Flict-G"
"Zaito","Elbiz"
"Target","Apoc"
"Plazma","Omar Baliw"
"Asser","Rapido"
"SinCity","Ice Bergg"
"M Zhayt","Kregga"
"Makii","Aelekz"
"Range","Fangs"
"Mackata","Zeus"
"Batas","Sayadd"
"Dello","Sak Maestro"
"BLKD","Shernan"
"Romano","Pistolero"
"Sinio","Frooz"
"BLKD","Thike"
"Shehyee","Pistolero"
"Sak Maestro","Fongger"
"Sak Maestro","Zaito"
"Sayadd","Kregga"
"Ilaya","Kial"
"G-Clown","LilJohn"
"Left Eye Blind","Nerdskillz"
"Batas","Andy G"
"Dello","Badang"
"Target","Zero Hour"
"Rapido","Shernan"
"M Zhayt","Romano"
"Righteous1","Pricetagg"
"Troublesome","Plazma"
"Loonie","Aklas"
"Tipsy D","J-Skeelz"
"Sinio","Sak Maestro"
"M Zhayt","Asser"
"Crazymix","Damsa"
"Ejo","Nikki"
"Omar Baliw","Cool Kidd"
"Righteous1","Hearty"
"Makii","Romano"
"Harlem/Juan Lazy","Mac T/G-Spot"
"Batas","Melchrist"
"Smugglaz","Zaito"
"Frooz","Pricetagg"
"Andy G","Elbiz"
"Flict-G","Badang"
"Thike","LilJohn"
"Shernan","Fongger"
"Pistolero","Kregga"
"Kregga","Nikki"
"Batas","Rapido"
"Thike/G-Clown","Shernan/M Zhayt"
"Melchrist","Kris Delano"
"LilJohn","Batang Rebelde"
"Damsa","Pistolero"
"Cerberus","Romano"
"Sak Maestro","Ice Bergg"
"Andy G","Fongger"
"Goriong Talas","Asser"
"Blackleaf","Makii"
"Aklas","Tweng"
"Cool Kidd","Aelekz"
"Range","Zeus"
"Fangs","Mackata"
"M Zhayt","Damsa"
"Batas","Rudic"
"Prosecutor Billy","Kris Delano"
"Thike","Badang"
"Elbiz","LilJohn"
"Omar Baliw","Left Eye Blind"
"Tipsy D","Sinio"
"Frooz","Third D"
"Akt","Kris Delano"
"Mocks Wun","Shernan"
"M Zhayt","Pistolero"
"Asero","Jaffie"
"Sayantipiko","Cerberus"
"Romano","Harvey"
"Rapido","Hizuka"
"Elbiz","Melchrist"
"Icaruz","Thike"
"Andy G","Badang"
"Damsa","LilJohn"
"Batang Rebelde","G-Clown"
"Nerdskillz","Hazky"
"Omar Baliw","K Vill"
"J-Lem","Bogchick"
"Don Busabos/Malupit","Stiff/Fukuda"
"Maxford/Cool Kidd","Onlison/Kaream"
"Batas","Dopee"
"Rudic","Nikki"
"Silent Effect","Hizuka"
"Sayadd","Sak Maestro"
"Apoc","Zero Hour"
"Sinio","G-Spot"
"G-Clown","Kregga"
"Mac T/G-Spot","Lazta/Mastamine"
"Fongger","Batang Rebelde"
"Asser","Ejo"
"Makii","Thike"
"Tweng","Batang X"
"Mackata","W-Beat"
"Range","Aelekz"
"Zeus","Fangs"
"Aklas","Elbiz"
"Rapido","Goriong Talas"
"Notorious","Prosecutor Billy"
"Maxford","Melchrist"
"Flipzydot1","M Zhayt"
"Silencer","LilJohn"
"Shernan","Pistolero"
"Ilaya","Left Eye Blind"
"Sayadd","Zero Hour"
"Flict-G","Sak Maestro"
"Goriong Talas","Kris Delano"
"Rapido","Sinio"
"Thike","Ejo"
"Mocks Wun","G-Clown"
"Aklas","Akt"
"Aklas","Batang Rebelde"
"Frooz/Elbiz","Crazymix/Bassilyo"
"Rapido/Mocks Wun","Lil Sisa/Hearty"
"Aklas","BLKD"
"Apekz","Target"
"Andy G","Righteous1"
"Negatibo","Melchrist"
"Harlem","Juan Lazy"
"Apoc","Sak Maestro"
"Harlem","Zero Hour"
"Pricetagg","Maxford"
"Andy G","Malupit"
"Tipsy D","Juan Lazy"
"Rudic","Hizuka"
"Mac T","Fukuda"
"Cool Kidd","Nikki"
"Don Busabos","Dave Ill"
"Kregga","JB"
"Onlison","Stiff"
"Frooz/Elbiz","Rapido/Icaruz"
"Tipsy D/Third D","Crazymix/Bassilyo"
"Flict-G","BLKD"
"Aklas","Sinio"
"Rudic","Batang Rebelde"
"Thike","Flipzydot1"
"Target/J-Skeelz","Crazymix/Bassilyo"
"Tipsy D/Third D","Mac T/G-Spot"
"Andy G","Sinio"
"Flict-G","Rudic"
"Abra/Apekz","Frooz/Elbiz"
"Rapido/Icaruz","Dopee/Snob"
"BLKD","Goriong Talas"
"Aklas","Jade Wunn"
"Abra/Apekz","Saint Ice/Kris Delano"
"Target/J-Skeelz","Negatibo/Righteous1"
"Frooz/Elbiz","Yelshawn/Bogchick"
"Crazymix/Bassilyo","Mocks Wun/Verse1"
"Aklas","J-Lem"
"Flict-G","Asero"
"Batang Rebelde","Sinio"
"Notorious","Troublesome"
"Protégé","Bender"
"Anygma","Loe Pesci"
"Plazma","Tantrum"
"Skarm","Charron"
"Batas","Shazaam"
"Zaito","Charron"
"SinCity","Twizzie"
"Apoc","One3D"
"Rapido/Icaruz","Maxford/Malupit"
"Melchrist/Papew","Mac T/G-Spot"
